11672
47   ( 3.76782, -0.488714)  ( 3.76716, -0.486298) 
47   ( 3.76641, -0.483252)  ( 3.75717, -0.484734) 
46   ( 3.76847, -0.49113)  ( 3.76782, -0.488714) 
46   ( 3.76912, -0.493031)  ( 3.76847, -0.49113) 
47   ( 3.76782, -0.488714)  ( 3.75824, -0.489483) 
47   ( 3.76977, -0.494931)  ( 3.76912, -0.493031) 
47   ( 3.77076, -0.496399)  ( 3.76977, -0.494931) 
47   ( 3.76912, -0.493031)  ( 3.75861, -0.490591) 
47   ( 3.77175, -0.497866)  ( 3.77076, -0.496399) 
47   ( 3.77351, -0.498971)  ( 3.77175, -0.497866) 
47   ( 3.77076, -0.496399)  ( 3.76564, -0.505205) 
47   ( 3.77526, -0.500075)  ( 3.77351, -0.498971) 
47   ( 3.77823, -0.500886)  ( 3.77526, -0.500075) 
47   ( 3.77351, -0.498971)  ( 3.76815, -0.507547) 
47   ( 3.78119, -0.501697)  ( 3.77823, -0.500886) 
47   ( 3.78579, -0.502286)  ( 3.78119, -0.501697) 
46   ( 3.77823, -0.500886)  ( 3.77133, -0.50858) 
47   ( 3.79039, -0.502874)  ( 3.78579, -0.502286) 
47   ( 3.79707, -0.503309)  ( 3.79039, -0.502874) 
47   ( 3.78579, -0.502286)  ( 3.78753, -0.509165) 
47   ( 3.80374, -0.503744)  ( 3.79707, -0.503309) 
47   ( 3.81292, -0.504097)  ( 3.80374, -0.503744) 
47   ( 3.79707, -0.503309)  ( 3.79664, -0.508636) 
45   ( 3.8221, -0.50445)  ( 3.81292, -0.504097) 
45   ( 3.83391, -0.504986)  ( 3.8221, -0.50445) 
47   ( 3.81292, -0.504097)  ( 3.81458, -0.509032) 
47   ( 3.84571, -0.505521)  ( 3.83391, -0.504986) 
47   ( 3.85951, -0.506952)  ( 3.84571, -0.505521) 
47   ( 3.83391, -0.504986)  ( 3.83386, -0.505995) 
46   ( 3.8733, -0.508383)  ( 3.85951, -0.506952) 
46   ( 3.88837, -0.511486)  ( 3.8733, -0.508383) 
47   ( 3.90343, -0.514588)  ( 3.88837, -0.511486) 
47   ( 3.91846, -0.519518)  ( 3.90343, -0.514588) 
46   ( 3.88837, -0.511486)  ( 3.88732, -0.51655) 
46   ( 3.9335, -0.524448)  ( 3.91846, -0.519518) 
46   ( 3.94586, -0.529867)  ( 3.9335, -0.524448) 
47   ( 3.95822, -0.535286)  ( 3.94586, -0.529867) 
47   ( 3.96543, -0.539718)  ( 3.95822, -0.535286) 
47   ( 3.94586, -0.529867)  ( 3.94498, -0.531848) 
46   ( 3.97265, -0.54415)  ( 3.96543, -0.539718) 
45   ( 3.97533, -0.54679)  ( 3.97265, -0.54415) 
46   ( 3.96543, -0.539718)  ( 3.9626, -0.549638) 
46   ( 3.97801, -0.549431)  ( 3.97533, -0.54679) 
46   ( 3.9783, -0.549811)  ( 3.97801, -0.549431) 
46   ( 3.97533, -0.54679)  ( 3.96982, -0.554069) 
46   ( 3.97859, -0.550191)  ( 3.9783, -0.549811) 
47   ( 3.97857, -0.547862)  ( 3.97859, -0.550191) 
44   ( 3.9783, -0.549811)  ( 3.9725, -0.55671) 
47   ( 3.97854, -0.545532)  ( 3.97857, -0.547862) 
47   ( 3.97831, -0.540559)  ( 3.97854, -0.545532) 
45   ( 3.97857, -0.547862)  ( 3.98636, -0.5496) 
47   ( 3.97809, -0.535585)  ( 3.97831, -0.540559) 
47   ( 3.97572, -0.528575)  ( 3.97809, -0.535585) 
47   ( 3.97831, -0.540559)  ( 3.98614, -0.544626) 
47   ( 3.97335, -0.521565)  ( 3.97572, -0.528575) 
47   ( 3.96685, -0.513148)  ( 3.97335, -0.521565) 
47   ( 3.97572, -0.528575)  ( 3.98248, -0.519709) 
46   ( 3.96035, -0.50473)  ( 3.96685, -0.513148) 
46   ( 3.95011, -0.495329)  ( 3.96035, -0.50473) 
47   ( 3.96685, -0.513148)  ( 3.97793, -0.511795) 
47   ( 3.93987, -0.485929)  ( 3.95011, -0.495329) 
47   ( 3.92933, -0.475708)  ( 3.93987, -0.485929) 
47   ( 3.95011, -0.495329)  ( 3.95767, -0.487098) 
