6483
44   ( 3.60645, 0.816229)  ( 3.63887, 0.79054) 
45   ( 3.57403, 0.841918)  ( 3.60645, 0.816229) 
45   ( 3.54218, 0.864736)  ( 3.57403, 0.841918) 
45   ( 3.60645, 0.816229)  ( 3.61607, 0.850611) 
45   ( 3.51033, 0.887554)  ( 3.54218, 0.864736) 
45   ( 3.47937, 0.907291)  ( 3.51033, 0.887554) 
45   ( 3.54218, 0.864736)  ( 3.57524, 0.882453) 
44   ( 3.4484, 0.927029)  ( 3.47937, 0.907291) 
44   ( 3.41866, 0.943506)  ( 3.4484, 0.927029) 
45   ( 3.38892, 0.959982)  ( 3.41866, 0.943506) 
45   ( 3.36081, 0.973069)  ( 3.38892, 0.959982) 
45   ( 3.41866, 0.943506)  ( 3.43207, 0.985237) 
44   ( 3.3327, 0.986155)  ( 3.36081, 0.973069) 
44   ( 3.30667, 0.995802)  ( 3.3327, 0.986155) 
44   ( 3.36081, 0.973069)  ( 3.39182, 1.00703) 
44   ( 3.28064, 1.00545)  ( 3.30667, 0.995802) 
43   ( 3.25715, 1.01173)  ( 3.28064, 1.00545) 
44   ( 3.30667, 0.995802)  ( 3.31358, 1.01448) 
41   ( 3.23367, 1.018)  ( 3.25715, 1.01173) 
41   ( 3.21316, 1.02114)  ( 3.23367, 1.018) 
43   ( 3.25715, 1.01173)  ( 3.25597, 1.01936) 
43   ( 3.19265, 1.02428)  ( 3.21316, 1.02114) 
42   ( 3.17543, 1.0247)  ( 3.19265, 1.02428) 
43   ( 3.21316, 1.02114)  ( 3.21901, 1.02866) 
41   ( 3.1582, 1.02512)  ( 3.17543, 1.0247) 
42   ( 3.14402, 1.02344)  ( 3.1582, 1.02512) 
41   ( 3.17543, 1.0247)  ( 3.1763, 1.06059) 
43   ( 3.12984, 1.02175)  ( 3.14402, 1.02344) 
43   ( 3.11666, 1.01856)  ( 3.12984, 1.02175) 
42   ( 3.14402, 1.02344)  ( 3.1413, 1.03979) 
43   ( 3.10347, 1.01537)  ( 3.11666, 1.01856) 
